car,year,cash_price,true_cost,Hicash,Hicost
AcuraMDX,2018,44372,57211,-0.298472392,-0.284853561
AudiQ5,2018,48366,66218,-0.235326687,-0.172264653
BmwX5,2018,64800,86909,0.024497182,0.08637608
BmwX6,2018,73101,89387,0.155737168,0.117351467
CadillacESCALADE,2018,79604,93866,0.25855052,0.173339667
InfinitiQX60,2018,44840,60650,-0.291073246,-0.241865523
LandroverRANGEROVER,2018,101927,112451,0.611480313,0.405655071
LexusRX350,2018,50003,64309,-0.209445485,-0.196127452
LexusLX570,2018,89549,108114,0.415782379,0.351441893
LincolnMKX,2018,41087,60582,-0.350408708,-0.242715534
MercedesbenzGLECLASS,2018,58835,79969,-0.069810313,-0.000375005
PorscheCAYENNE,2018,71043,89919,0.123199897,0.12400155
VolvoXC90,2018,54730,70402,-0.134710945,-0.119964
